epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,1.2131616015365159,59.27622318267822,1.3688102513551712,71.56398296356201,0.7156398892402649
2,0.5764900290447733,83.92121195793152,0.6511293105781079,77.88309454917908,0.7788309454917908
3,0.3760183531305064,90.2885913848877,1.0109976075589657,64.7709310054779,0.647709310054779
4,0.2604070273430451,93.63261461257935,0.6039471313357353,77.33017206192017,0.7733017802238464
5,0.16797186488258667,97.02244400978088,0.7092819944024086,76.145339012146,0.76145339012146
6,0.11782451827025069,98.53412508964539,0.5470708042383194,81.20062947273254,0.8120062947273254
7,0.08253607558815376,99.03802275657654,0.6673898909240961,77.40916013717651,0.7740916609764099
8,0.05012111284810564,99.63353276252747,0.6304622232913971,79.38388586044312,0.7938388586044312
9,0.06664019391156625,98.9005982875824,0.7162783917039632,76.93523168563843,0.7693523168563843
10,0.03138224240662395,99.86257553100586,0.651273162662983,79.77883219718933,0.7977883219718933
11,0.02042512926340535,100.0,0.5023181712254882,83.57030153274536,0.8357030153274536
12,0.015934183802185715,99.95419383049011,0.5895968817174435,82.38546848297119,0.8238547444343567
13,0.012942061867510927,100.0,0.5072776302695274,83.49131345748901,0.8349131345748901
14,0.010219297344809856,100.0,0.5146644042804838,83.01737904548645,0.8301737904548645
15,0.009216351724783148,100.0,0.542737708799541,83.9652419090271,0.839652419090271
16,0.007768928522136116,100.0,0.5857782453298569,82.38546848297119,0.8238547444343567
17,0.007363230907830639,100.0,0.54392947871238,83.88625383377075,0.8388625383377075
18,0.006905180850889587,100.0,0.5406139509752392,83.57030153274536,0.8357030153274536
19,0.00707121396207831,100.0,0.555186647735536,83.2543432712555,0.8325434327125549
20,0.00712393822344155,100.0,0.6376250432804227,81.1216413974762,0.811216413974762
21,0.04752674530111793,98.76316785812378,2.452006259560585,57.66192674636841,0.5766192674636841
22,0.06902242271715532,97.8469967842102,0.682647354900837,79.30489778518677,0.7930489778518677
23,0.024047607643718737,99.49610829353333,0.5823910776525736,82.30647444725037,0.8230647444725037
24,0.007947923629072266,100.0,0.5475033730268478,84.28120017051697,0.8428120613098145
25,0.00495302702124784,100.0,0.5584272498264908,84.12322402000427,0.8412322402000427
26,0.0050151905321610575,100.0,0.5503416286781431,84.36018824577332,0.8436018824577332
27,0.005989368176560147,100.0,0.548003682680428,83.41231942176819,0.8341231942176819
28,0.00385210580577183,100.0,0.5445561775937676,83.72827768325806,0.8372827768325806
29,0.004583448573164102,100.0,0.6543338876217604,81.27962350845337,0.8127962350845337
30,0.02622552683232757,99.12964105606079,1.715422937273979,59.794628620147705,0.597946286201477
31,0.017544895008989217,99.67933893203735,0.6994261534884572,80.2527666091919,0.802527666091919
32,0.012345415212726895,99.7709572315216,0.6661036585457623,81.75355195999146,0.8175355195999146
33,0.0061698906913237725,100.0,0.6002358960919082,83.0963671207428,0.830963671207428
34,0.003533760944475838,100.0,0.5662652835715563,84.59715843200684,0.8459715843200684
35,0.0028562440361449685,100.0,0.5910500804893672,82.9383909702301,0.829383909702301
36,0.0027539884431989512,100.0,0.5538685449399054,84.36018824577332,0.8436018824577332
37,0.003758706560736333,100.0,0.5570714687928557,84.36018824577332,0.8436018824577332
38,0.010525415388300367,99.8167634010315,0.6538508335128427,81.67456388473511,0.8167456388473511
39,0.010812703488003193,99.90838170051575,0.8237692419439554,78.04107666015625,0.7804107666015625
40,0.026213120130916544,99.40448999404907,0.8392004694789648,80.33175468444824,0.8033175468444824
