[2025-11-05 14:33:35] - [train_utils.py:73] - [INFO]: Train Loss: 1.03882 | Train Accuracy: 83.37%
[2025-11-05 14:33:36] - [train_utils.py:73] - [INFO]: Train Loss: 0.26974 | Train Accuracy: 99.27%
[2025-11-05 14:33:37] - [train_utils.py:73] - [INFO]: Train Loss: 0.11681 | Train Accuracy: 99.68%
[2025-11-05 14:33:37] - [train_utils.py:73] - [INFO]: Train Loss: 0.06707 | Train Accuracy: 99.59%
[2025-11-05 14:33:38] - [train_utils.py:73] - [INFO]: Train Loss: 0.04504 | Train Accuracy: 99.68%
[2025-11-05 14:33:39] - [train_utils.py:73] - [INFO]: Train Loss: 0.03224 | Train Accuracy: 99.82%
[2025-11-05 14:33:40] - [train_utils.py:73] - [INFO]: Train Loss: 0.02137 | Train Accuracy: 99.95%
[2025-11-05 14:33:41] - [train_utils.py:73] - [INFO]: Train Loss: 0.01553 | Train Accuracy: 100.00%
[2025-11-05 14:33:42] - [train_utils.py:73] - [INFO]: Train Loss: 0.01381 | Train Accuracy: 99.91%
[2025-11-05 14:33:43] - [train_utils.py:73] - [INFO]: Train Loss: 0.01100 | Train Accuracy: 99.95%
[2025-11-05 14:33:44] - [train_utils.py:73] - [INFO]: Train Loss: 0.01198 | Train Accuracy: 99.95%
[2025-11-05 14:33:44] - [train_utils.py:73] - [INFO]: Train Loss: 0.01678 | Train Accuracy: 99.86%
[2025-11-05 14:33:45] - [train_utils.py:73] - [INFO]: Train Loss: 0.00855 | Train Accuracy: 100.00%
[2025-11-05 14:33:46] - [train_utils.py:73] - [INFO]: Train Loss: 0.00765 | Train Accuracy: 100.00%
[2025-11-05 14:33:47] - [train_utils.py:73] - [INFO]: Train Loss: 0.00850 | Train Accuracy: 100.00%
[2025-11-05 14:33:48] - [train_utils.py:73] - [INFO]: Train Loss: 0.00645 | Train Accuracy: 99.95%
[2025-11-05 14:33:49] - [train_utils.py:73] - [INFO]: Train Loss: 0.00577 | Train Accuracy: 100.00%
[2025-11-05 14:33:50] - [train_utils.py:73] - [INFO]: Train Loss: 0.00515 | Train Accuracy: 99.95%
[2025-11-05 14:33:51] - [train_utils.py:73] - [INFO]: Train Loss: 0.00475 | Train Accuracy: 100.00%
[2025-11-05 14:33:52] - [train_utils.py:73] - [INFO]: Train Loss: 0.00311 | Train Accuracy: 100.00%
[2025-11-05 14:33:53] - [train_utils.py:73] - [INFO]: Train Loss: 0.00293 | Train Accuracy: 100.00%
[2025-11-05 14:33:54] - [train_utils.py:73] - [INFO]: Train Loss: 0.00238 | Train Accuracy: 100.00%
[2025-11-05 14:33:55] - [train_utils.py:73] - [INFO]: Train Loss: 0.00216 | Train Accuracy: 100.00%
[2025-11-05 14:33:55] - [train_utils.py:73] - [INFO]: Train Loss: 0.00282 | Train Accuracy: 100.00%
[2025-11-05 14:33:56] - [train_utils.py:73] - [INFO]: Train Loss: 0.00166 | Train Accuracy: 100.00%
[2025-11-05 14:33:57] - [train_utils.py:73] - [INFO]: Train Loss: 0.00165 | Train Accuracy: 100.00%
[2025-11-05 14:33:58] - [train_utils.py:73] - [INFO]: Train Loss: 0.00175 | Train Accuracy: 100.00%
[2025-11-05 14:33:59] - [train_utils.py:73] - [INFO]: Train Loss: 0.00181 | Train Accuracy: 100.00%
[2025-11-05 14:34:00] - [train_utils.py:73] - [INFO]: Train Loss: 0.00189 | Train Accuracy: 100.00%
[2025-11-05 14:34:01] - [train_utils.py:73] - [INFO]: Train Loss: 0.00132 | Train Accuracy: 100.00%
[2025-11-05 14:34:02] - [train_utils.py:73] - [INFO]: Train Loss: 0.00145 | Train Accuracy: 100.00%
[2025-11-05 14:34:03] - [train_utils.py:73] - [INFO]: Train Loss: 0.00099 | Train Accuracy: 100.00%
[2025-11-05 14:34:04] - [train_utils.py:73] - [INFO]: Train Loss: 0.00112 | Train Accuracy: 100.00%
[2025-11-05 14:34:04] - [train_utils.py:73] - [INFO]: Train Loss: 0.00118 | Train Accuracy: 100.00%
[2025-11-05 14:34:05] - [train_utils.py:73] - [INFO]: Train Loss: 0.00110 | Train Accuracy: 100.00%
[2025-11-05 14:34:06] - [train_utils.py:73] - [INFO]: Train Loss: 0.00086 | Train Accuracy: 100.00%
[2025-11-05 14:34:07] - [train_utils.py:73] - [INFO]: Train Loss: 0.00083 | Train Accuracy: 100.00%
[2025-11-05 14:34:08] - [train_utils.py:73] - [INFO]: Train Loss: 0.00112 | Train Accuracy: 100.00%
[2025-11-05 14:34:09] - [train_utils.py:73] - [INFO]: Train Loss: 0.00083 | Train Accuracy: 100.00%
[2025-11-05 14:34:10] - [train_utils.py:73] - [INFO]: Train Loss: 0.00095 | Train Accuracy: 100.00%
