Epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,0.6507883687085901,78.0307412147522,0.6478467179131138,78.38566899299622,0.7838566899299622
2,0.47862744321800016,83.13518762588501,0.6723738606401078,77.61092185974121,0.7761092185974121
3,0.33368254031242567,88.09118270874023,0.7302393164022003,77.69324779510498,0.776932418346405
4,0.2080138171787816,92.63468384742737,0.8541007345791022,76.40469074249268,0.764046847820282
5,0.13431596031199927,95.30037641525269,1.0111551512012138,77.21325159072876,0.7721325159072876
6,0.10092468577126408,96.47858738899231,1.0207568770074584,75.53438544273376,0.7553439140319824
7,0.08353357989395811,97.09371328353882,1.0767352526529574,76.8721878528595,0.768721878528595
8,0.07186821900523482,97.52925038337708,1.1247078424666872,75.14627575874329,0.7514626979827881
9,0.06526483662253645,97.78136014938354,1.1448033098260462,77.37423181533813,0.7737423181533813
10,0.06062582677251596,97.9434609413147,1.1531034536428646,75.69095492362976,0.7569094896316528
