epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.177259007848184,57.75229334831238,0.6796049135458018,75.03949403762817,0.7353070974349976
2,0.7296327420194214,75.68807601928711,0.6628890302243763,78.19905281066895,0.7720805406570435
3,0.6409775589994334,78.76147031784058,0.5548103482988355,80.56871891021729,0.7995325922966003
4,0.5385734097604905,82.93578028678894,0.5247720824789597,81.75355195999146,0.813559353351593
5,0.42654009815134586,86.23853325843811,0.511560280780875,81.75355195999146,0.8181630969047546
6,0.38145107393315353,88.21101188659668,0.6192393743474189,80.64770698547363,0.8013489246368408
7,0.30190792761811425,91.05504751205444,0.49515511615353136,82.62243270874023,0.8240212202072144
8,0.2794302771876164,91.74311757087708,0.5502401146397277,81.35861158370972,0.8130112290382385
9,0.23290596294362065,92.93578267097473,0.6585819742514544,80.41074275970459,0.7928369045257568
10,0.20601187579316693,94.40367221832275,0.4686577524787861,84.83412265777588,0.8477591276168823
11,0.16900859831644377,95.36697268486023,0.5256732335638795,83.41231942176819,0.8352487683296204
12,0.1867367946491534,94.58715319633484,0.5358511439476115,83.41231942176819,0.8324509263038635
13,0.1763063753485133,95.18348574638367,0.7168121892826306,80.48973083496094,0.8056648969650269
14,0.16005601330079275,95.13761401176453,0.8038141800594525,80.72670102119446,0.8061723709106445
15,0.11937332627098632,96.92660570144653,0.49152335286109594,84.91311073303223,0.8494634032249451
16,0.08969148292073792,98.211008310318,0.45215212789214326,85.70300340652466,0.8570547699928284
17,0.09671541508885288,97.79816269874573,0.46509862457268375,85.38704514503479,0.8543174266815186
18,0.09050795289713445,98.25688004493713,0.4271550959715038,86.88783645629883,0.8689137697219849
19,0.07100880228371761,98.34862351417542,0.467175934881843,85.9399676322937,0.8595252633094788
20,0.08862014125793352,98.16513657569885,0.4391993956979326,86.80884838104248,0.867216169834137
21,0.08213792317440101,98.211008310318,0.4235373346982612,86.96682453155518,0.8693288564682007
22,0.06964485636632463,98.57798218727112,0.4152094562784387,87.04581260681152,0.870166540145874
23,0.08251364746541126,98.16513657569885,0.42381284918235057,87.51974701881409,0.8751754760742188
24,0.052542961132926266,99.03669953346252,0.42525204147685214,87.28278279304504,0.8732730150222778
25,0.0706463945265902,98.6697256565094,0.4039414221219269,87.9146933555603,0.8788191080093384
26,0.05319711512153319,98.94495606422424,0.4156870314182474,87.9146933555603,0.8788633942604065
27,0.058828748616287396,98.76146912574768,0.41462746356453817,87.99368143081665,0.8796734809875488
28,0.05716310050573473,98.85321259498596,0.45136047688550435,86.57187819480896,0.8659172058105469
29,0.05917472221478478,98.80734086036682,0.4062930252070668,87.67772316932678,0.876529335975647
30,0.0629670648430816,98.99082779884338,0.4187049137309784,87.67772316932678,0.8766205310821533
31,0.06677759180022745,98.80734086036682,0.41827810586140746,87.36177086830139,0.873511552810669
32,0.05289905467198803,98.99082779884338,0.4202932204507851,87.44075894355774,0.8744065761566162
33,0.036876707114418115,99.26605224609375,0.4010451193869537,87.67772316932678,0.8765007853507996
34,0.041408475719225686,99.26605224609375,0.44608154227031316,87.12480068206787,0.8707258105278015
35,0.04037812006672622,99.26605224609375,0.41567927927597004,87.59873509407043,0.8762370347976685
36,0.036338454176171965,99.22018051147461,0.4355390539143289,86.88783645629883,0.8694952130317688
37,0.0637369520182576,98.80734086036682,0.4504578483497727,87.51974701881409,0.8752990365028381
38,0.05424648537631616,98.85321259498596,0.4157237493141469,87.83570528030396,0.8779160976409912
39,0.036610683035041384,99.35779571533203,0.4257170004395207,87.59873509407043,0.8756908178329468
40,0.036621235127757314,99.49541091918945,0.40047110163526645,87.83570528030396,0.8783484697341919
